iter	Passed	Remaining
180	261	1185
181	262	1179
182	262	1174
183	263	1168
184	263	1162
185	264	1157
186	265	1152
187	265	1146
188	266	1142
189	266	1137
190	267	1131
191	267	1126
192	268	1121
193	268	1116
194	269	1111
195	269	1106
196	270	1101
197	270	1096
198	271	1091
199	271	1087
200	272	1082
201	272	1077
202	273	1073
203	273	1068
204	274	1064
205	275	1061
206	275	1057
207	276	1052
208	277	1048
209	277	1044
210	278	1040
211	278	1035
212	279	1031
213	279	1027
214	280	1023
215	280	1019
216	281	1015
217	281	1011
218	282	1007
219	283	1003
220	283	999
221	284	996
222	284	992
223	285	988
224	285	984
225	286	980
226	286	977
227	287	973
228	287	969
229	288	966
230	289	962
231	289	959
232	290	956
233	291	953
234	291	949
235	292	946
236	292	942
237	293	939
238	294	936
239	294	932
240	295	929
241	295	926
242	296	922
243	296	919
244	297	916
245	298	913
246	298	910
247	299	907
248	299	904
249	300	901
250	300	898
251	301	894
252	302	891
253	302	889
254	303	886
255	303	883
256	304	880
257	305	878
258	305	875
259	306	872
260	307	869
261	307	866
262	308	863
263	308	860
264	309	857
265	309	854
266	310	852
267	310	849
268	311	847
269	312	844
270	312	841
271	313	839
272	313	836
273	314	833
274	315	830
275	315	827
276	316	824
277	316	822
278	317	819
279	317	816
280	318	814
281	318	811
282	319	809
283	320	807
284	320	805
285	321	802
286	322	800
287	322	797
288	323	795
289	323	792
290	324	790
291	324	787
292	325	785
293	326	782
294	326	780
295	327	778
296	327	775
297	328	773
298	328	770
299	329	768
300	329	766
301	330	763
302	331	761
303	331	759
304	332	756
305	332	754
306	333	752
307	333	750
308	334	748
309	335	746
310	335	744
311	336	741
312	337	739
313	337	737
314	338	735
315	339	734
316	339	732
317	340	729
318	340	727
319	341	725
320	341	723
321	342	721
322	343	718
323	343	716
324	344	714
325	344	712
326	345	710
327	345	708
328	346	706
329	346	704
330	347	702
331	347	700
332	348	698
333	349	696
334	349	694
335	350	692
336	351	691
337	351	689
338	352	687
339	353	685
340	353	683
341	354	681
342	354	679
343	355	678
344	356	676
345	356	674
346	357	672
347	357	670
348	358	668
349	358	666
350	359	664
351	359	662
352	360	660
353	360	658
354	361	656
355	361	654
356	362	652
357	363	651
358	363	649
359	364	647
360	364	645
361	366	645
362	366	643
363	367	641
364	367	640
365	368	638
366	368	636
367	369	634
368	369	632
369	370	630
370	370	628
371	371	627
372	371	625
373	372	623
374	373	621
375	373	620
376	374	618
377	374	616
378	375	614
379	375	613
380	376	611
381	376	609
382	377	607
383	377	606
384	378	604
385	379	603
386	379	601
387	380	599
388	380	598
389	381	596
390	381	594
391	382	593
392	383	591
393	383	590
394	384	588
395	384	586
396	385	585
397	385	583
398	386	581
399	386	580
400	387	578
401	387	576
402	388	575
403	388	573
404	389	572
405	389	570
406	390	568
407	390	567
408	391	565
409	392	564
410	392	562
411	393	561
412	394	560
413	394	559
414	395	557
415	396	556
416	396	554
417	397	553
418	397	551
419	398	550
420	398	548
421	399	547
422	400	545
423	400	544
424	401	543
425	402	541
426	402	540
427	403	539
428	404	538
429	404	536
430	405	535
431	406	534
432	406	532
433	407	531
434	409	531
435	410	530
436	410	529
437	411	527
438	412	526
439	412	525
440	413	523
441	413	522
442	414	521
443	415	519
444	415	518
445	416	517
446	416	515
447	417	514
448	418	513
449	418	511
450	419	510
451	420	509
452	420	507
453	421	506
454	421	505
455	422	503
456	422	502
457	423	501
458	424	500
459	425	499
460	425	497
461	426	496
462	426	495
463	427	494
464	428	492
465	428	491
466	429	490
467	430	488
468	430	487
469	431	486
470	431	485
471	432	483
472	433	482
473	433	481
474	434	480
475	435	478
476	435	477
477	436	476
478	437	475
479	437	474
480	438	473
481	439	472
482	440	471
483	441	470
484	442	469
485	442	468
486	443	467
487	444	465
488	444	464
489	445	463
490	446	462
491	446	461
492	447	460
493	448	458
494	448	457
495	449	456
496	450	455
497	450	454
498	451	453
499	452	452
500	453	451
501	454	450
502	455	449
503	456	448
504	456	447
505	457	446
506	458	445
507	458	444
508	459	443
509	459	441
510	460	440
511	461	439
512	462	438
513	462	437
514	463	436
515	464	435
516	465	434
517	465	433
518	466	432
519	467	431
520	467	430
521	468	429
522	469	427
523	469	426
524	470	425
525	471	424
526	472	423
527	473	423
528	474	422
529	474	421
530	475	420
531	476	418
532	476	417
533	477	416
534	478	415
535	478	414
536	479	413
537	480	412
538	481	411
539	482	410
540	482	409
541	483	408
542	483	407
543	484	406
544	485	405
545	486	404
546	486	403
547	487	402
548	488	401
549	488	400
550	489	398
551	490	397
552	490	396
553	491	395
554	491	394
555	493	394
556	494	393
557	494	392
558	495	391
559	496	390
560	497	389
561	498	388
562	499	387
563	500	386
564	500	385
565	501	384
566	502	383
567	502	382
568	503	381
569	504	380
570	504	379
571	505	378
572	506	377
573	507	376
574	507	375
575	508	374
576	509	373
577	510	372
578	510	371
579	511	370
580	512	369
581	512	368
582	513	367
583	514	366
584	515	365
585	516	365
586	517	364
587	518	363
588	519	362
589	519	361
590	520	360
591	521	359
592	522	358
593	522	357
594	523	356
595	524	355
596	525	354
597	526	353
598	527	352
599	528	352
600	529	351
601	529	350
602	530	349
603	530	348
604	531	347
605	532	346
606	532	345
607	533	344
608	534	343
609	535	342
610	535	341
611	536	340
612	537	339
613	537	338
614	538	336
615	538	335
616	539	334
617	540	333
618	541	333
619	542	332
620	542	331
621	543	330
622	544	329
623	545	328
624	545	327
625	546	326
626	546	325
627	547	324
628	548	323
629	548	322
630	549	321
631	549	320
632	550	319
633	551	318
634	551	317
635	552	316
636	553	315
637	553	314
638	554	313
639	554	312
640	555	311
641	556	310
642	557	309
643	557	308
644	558	307
645	559	306
646	559	305
647	560	304
648	561	303
649	561	302
650	562	301
651	562	300
652	563	299
653	564	298
654	564	297
655	565	296
656	565	295
657	566	294
658	566	293
659	567	292
660	568	291
661	568	290
662	569	289
663	570	288
664	570	287
665	571	286
666	572	285
667	572	284
668	573	283
669	573	282
670	574	281
671	574	280
672	575	279
673	576	278
674	576	277
675	577	276
676	578	275
677	578	274
678	579	273
679	579	272
680	580	271
681	580	270
682	581	269
683	582	268
684	582	267
685	583	266
686	583	265
687	584	264
688	584	264
689	585	263
690	586	262
691	587	261
692	587	260
693	588	259
694	588	258
695	589	257
696	589	256
697	590	255
698	591	254
699	591	253
700	592	252
701	592	251
702	593	250
703	593	249
704	594	248
705	594	247
706	595	246
707	595	245
708	596	244
709	596	243
710	597	242
711	598	241
712	598	240
713	599	240
714	599	239
715	600	238
716	601	237
717	601	236
718	602	235
719	603	234
720	603	233
721	605	233
722	605	232
723	606	231
724	606	230
725	607	229
726	608	228
727	608	227
728	609	226
729	610	225
730	610	224
731	611	223
732	611	222
733	612	222
734	613	221
735	613	220
736	614	219
737	615	218
738	615	217
739	616	216
740	617	215
741	618	214
742	618	214
743	619	213
744	620	212
745	620	211
746	621	210
747	621	209
748	622	208
749	623	207
750	623	206
751	624	205
752	624	205
753	625	204
754	626	203
755	627	202
756	627	201
757	628	200
758	629	199
759	629	198
760	630	198
761	631	197
762	632	196
763	632	195
764	633	194
765	634	193
766	634	192
767	635	191
768	636	191
769	636	190
770	637	189
771	637	188
772	638	187
773	639	186
774	639	185
775	640	184
776	641	183
777	641	183
778	642	182
779	642	181
780	643	180
781	643	179
782	644	178
783	645	177
784	646	176
785	646	176
786	647	175
787	647	174
788	648	173
789	649	172
790	649	171
791	650	170
792	651	169
793	651	169
794	652	168
795	652	167
796	653	166
797	653	165
798	654	164
799	655	163
800	655	162
801	656	162
802	656	161
803	657	160
804	658	159
805	658	158
806	659	157
807	660	156
808	660	156
809	661	155
810	662	154
811	662	153
812	663	152
813	663	151
814	664	150
815	664	149
816	665	149
817	665	148
818	666	147
819	666	146
820	667	145
821	668	144
822	668	143
823	669	142
824	669	142
825	670	141
826	670	140
827	671	139
828	672	138
829	672	137
830	673	136
831	673	136
832	674	135
833	675	134
834	675	133
835	676	132
836	677	131
837	677	130
838	678	130
839	678	129
840	679	128
841	679	127
842	680	126
843	680	125
844	681	124
845	681	124
846	682	123
847	682	122
848	683	121
849	684	120
850	684	119
851	685	119
852	685	118
853	686	117
854	686	116
855	687	115
856	687	114
857	688	113
858	689	113
859	689	112
860	690	111
861	690	110
862	691	109
863	692	108
864	692	108
865	693	107
866	693	106
867	694	105
868	694	104
869	695	103
870	695	103
871	696	102
872	696	101
873	697	100
874	697	99
875	698	98
876	698	98
877	699	97
878	700	96
879	700	95
880	701	94
881	701	93
882	702	93
883	702	92
884	703	91
885	704	90
886	704	89
887	705	88
888	706	88
889	706	87
890	707	86
891	707	85
892	708	84
893	708	84
894	709	83
895	709	82
896	710	81
897	710	80
898	711	79
899	711	79
900	712	78
901	713	77
902	713	76
903	714	75
904	714	75
905	715	74
906	716	73
907	716	72
908	717	71
909	717	70
910	718	70
911	718	69
912	719	68
913	720	67
914	720	66
915	721	66
916	721	65
917	722	64
918	723	63
919	723	62
920	724	62
921	724	61
922	725	60
923	725	59
924	726	58
925	726	58
926	727	57
927	728	56
928	729	55
929	729	54
930	730	54
931	731	53
932	731	52
933	732	51
934	732	50
935	733	50
936	734	49
937	735	48
938	735	47
939	736	46
940	736	46
941	737	45
942	738	44
943	738	43
944	739	43
945	740	42
946	741	41
947	741	40
948	742	39
949	743	39
950	743	38
951	744	37
952	745	36
953	745	35
954	746	35
955	747	34
956	747	33
957	748	32
958	749	32
959	749	31
960	750	30
961	751	29
962	751	28
963	752	28
964	752	27
965	753	26
966	754	25
967	754	24
968	755	24
969	756	23
970	757	22
971	757	21
972	758	21
973	759	20
974	759	19
975	760	18
976	761	17
977	761	17
978	762	16
979	762	15
980	763	14
981	764	14
982	764	13
983	765	12
984	766	11
985	766	10
986	767	10
987	767	9
988	768	8
989	769	7
990	769	6
991	770	6
992	770	5
993	771	4
994	771	3
995	772	3
996	773	2
997	773	1
998	774	0
999	774	0
